store_name,product_url,style,product_title_preview
phantom_egy,https://phantomegy.com/products/grey-minimal-sweatpants,streetwear,Grey Minimal Sweatpants
phantom_egy,https://phantomegy.com/products/black-minimal-sweatpants,streetwear,Black Minimal Sweatpants
phantom_egy,https://phantomegy.com/products/white-zip-up-shirt,streetwear,Off-White Zip-Up Shirt
phantom_egy,https://phantomegy.com/products/black-zip-up-shirt,streetwear,Black Zip-Up Shirt
phantom_egy,https://phantomegy.com/products/white-quarter-zip,streetwear,Off-White Quarter Zip
phantom_egy,https://phantomegy.com/products/black-quarter-zip,streetwear,Black Quarter Zip
phantom_egy,https://phantomegy.com/products/black-p1-baby-tee,streetwear,Black P1 Baby Tee
phantom_egy,https://phantomegy.com/products/pink-p1-baby-tee,streetwear,Pink P1 Baby Tee
phantom_egy,https://phantomegy.com/products/white-block-tee,streetwear,White Block TEE
phantom_egy,https://phantomegy.com/products/black-block-tee,streetwear,Black Block TEE
phantom_egy,https://phantomegy.com/products/white-clasps-zip,streetwear,Off-White CLASPS ZIP
phantom_egy,https://phantomegy.com/products/black-clasps-zip,streetwear,Black CLASPS ZIP
phantom_egy,https://phantomegy.com/products/black-camo-001,streetwear,Black Camo 001
phantom_egy,https://phantomegy.com/products/pink-camo-001,streetwear,Pink Camo 001
phantom_egy,https://phantomegy.com/products/turquoise-zip-up,streetwear,Turquoise Zip-Up
phantom_egy,https://phantomegy.com/products/burgundy-zip-up,streetwear,Burgundy Zip-Up
phantom_egy,https://phantomegy.com/products/mint-zip-up,streetwear,Mint Zip-Up
phantom_egy,https://phantomegy.com/products/pink-zip-up,streetwear,Pink Zip-Up
phantom_egy,https://phantomegy.com/products/dark-gray-zip-up,streetwear,Dark Gray Zip-Up
phantom_egy,https://phantomegy.com/products/dark-green-zip-up,streetwear,Dark Green Zip-Up
phantom_egy,https://phantomegy.com/products/purple-zip-up,streetwear,Purple Zip-Up
phantom_egy,https://phantomegy.com/products/blue-zip-up,streetwear,Blue Zip-Up
phantom_egy,https://phantomegy.com/products/white-zip-up,streetwear,White Zip-Up
phantom_egy,https://phantomegy.com/products/black-zip-up,streetwear,Black Zip-Up
phantom_egy,https://phantomegy.com/products/burgundy-hoodie,streetwear,Burgundy Hoodie
phantom_egy,https://phantomegy.com/products/dark-gray-hoodie,streetwear,Dark Gray Hoodie
phantom_egy,https://phantomegy.com/products/turquoise-hoodie,streetwear,Turquoise Hoodie
phantom_egy,https://phantomegy.com/products/nlue-hoodie,streetwear,Blue Hoodie
phantom_egy,https://phantomegy.com/products/purple-hoodie,streetwear,Purple Hoodie
phantom_egy,https://phantomegy.com/products/mint-hoodie,streetwear,Mint Hoodie
phantom_egy,https://phantomegy.com/products/dark-green-hoodie,streetwear,Dark Green Hoodie
phantom_egy,https://phantomegy.com/products/pink-hoodie,streetwear,Pink Hoodie
phantom_egy,https://phantomegy.com/products/white-hoodie,streetwear,White Hoodie
